Id,Source,Target,Type,Weight
645,22,64,Undirected,171
647,22,73,Undirected,3832
648,22,75,Undirected,328
649,22,77,Undirected,4093
650,22,82,Undirected,365
651,22,83,Undirected,4283
652,22,88,Undirected,4271
653,22,97,Undirected,4267
654,22,98,Undirected,6237
655,22,99,Undirected,265
656,22,100,Undirected,3809
657,22,101,Undirected,3317
658,22,103,Undirected,243
659,22,105,Undirected,2574
660,22,111,Undirected,1062
661,22,112,Undirected,6587
662,22,116,Undirected,4998
663,22,117,Undirected,6702
664,22,119,Undirected,2353
665,22,123,Undirected,212
666,22,125,Undirected,208
667,22,126,Undirected,679
668,22,127,Undirected,589
671,23,28,Undirected,4768
672,23,29,Undirected,4290
673,23,31,Undirected,154
674,23,33,Undirected,208
675,23,39,Undirected,8118
676,23,46,Undirected,3925
677,23,47,Undirected,161
678,23,48,Undirected,321
679,23,56,Undirected,161
680,23,64,Undirected,356
681,23,65,Undirected,307
682,23,67,Undirected,2642
684,23,70,Undirected,9922
685,23,73,Undirected,5019
686,23,77,Undirected,3154
687,23,83,Undirected,4397
688,23,88,Undirected,2057
689,23,97,Undirected,3544
690,23,100,Undirected,2749
691,23,101,Undirected,3790
692,23,102,Undirected,9332
693,23,105,Undirected,545
694,23,111,Undirected,1539
695,23,112,Undirected,6637
696,23,116,Undirected,2467
697,23,117,Undirected,6277
698,23,119,Undirected,3625
699,23,122,Undirected,158
700,23,127,Undirected,582
701,24,1,Undirected,314
702,24,11,Undirected,164
703,24,12,Undirected,266
705,24,15,Undirected,1718
706,24,16,Undirected,384
707,24,21,Undirected,432
708,24,27,Undirected,299
709,24,30,Undirected,2725
710,24,31,Undirected,416
711,24,32,Undirected,770
712,24,33,Undirected,639
713,24,34,Undirected,1370
714,24,35,Undirected,2180
715,24,36,Undirected,842
716,24,37,Undirected,2957
717,24,39,Undirected,319
718,24,42,Undirected,3436
719,24,47,Undirected,15610
720,24,49,Undirected,9162
721,24,54,Undirected,40005
722,24,55,Undirected,13530
723,24,56,Undirected,7294
724,24,57,Undirected,2386
725,24,58,Undirected,572
726,24,60,Undirected,16543
727,24,63,Undirected,650
728,24,64,Undirected,19313
729,24,65,Undirected,23926
730,24,66,Undirected,213
731,24,67,Undirected,597
732,24,68,Undirected,10898
733,24,71,Undirected,247
734,24,77,Undirected,447
735,24,78,Undirected,1724
736,24,79,Undirected,15977
737,24,83,Undirected,1678
738,24,89,Undirected,1713
739,24,91,Undirected,297
740,24,94,Undirected,1380
741,24,95,Undirected,1425
742,24,96,Undirected,9212
743,24,98,Undirected,1913
744,24,99,Undirected,6034
745,24,103,Undirected,2648
746,24,105,Undirected,1239
747,24,106,Undirected,2927
748,24,107,Undirected,10367
749,24,109,Undirected,331
750,24,110,Undirected,346
751,24,112,Undirected,687
752,24,113,Undirected,737
753,24,114,Undirected,805
754,24,115,Undirected,908
755,24,119,Undirected,1684
756,24,121,Undirected,258
757,24,125,Undirected,846
758,24,128,Undirected,227
759,24,129,Undirected,474
760,24,130,Undirected,212
761,24,132,Undirected,380
762,24,135,Undirected,457
764,25,30,Undirected,1609
765,25,32,Undirected,2460
766,25,33,Undirected,2798
767,25,37,Undirected,3818
768,25,52,Undirected,4501
769,25,57,Undirected,9615
770,25,66,Undirected,9422
771,25,72,Undirected,2312
772,25,74,Undirected,4922
773,25,85,Undirected,2174
774,25,93,Undirected,4816
775,25,105,Undirected,538
776,25,108,Undirected,3353
777,25,112,Undirected,1394
778,25,113,Undirected,1489
779,25,125,Undirected,1226
780,25,126,Undirected,2624
781,25,129,Undirected,4292
782,25,134,Undirected,645
785,26,24,Undirected,784
786,26,31,Undirected,2251
787,26,38,Undirected,515
788,26,41,Undirected,168
789,26,43,Undirected,196
790,26,48,Undirected,8673
791,26,50,Undirected,211
792,26,51,Undirected,475
793,26,53,Undirected,160
794,26,54,Undirected,443
795,26,59,Undirected,287
796,26,61,Undirected,1093
797,26,65,Undirected,189
798,26,67,Undirected,7984
800,26,79,Undirected,2089
801,26,80,Undirected,11762
802,26,83,Undirected,177
803,26,84,Undirected,2137
804,26,87,Undirected,731
805,26,94,Undirected,2202
806,26,99,Undirected,271
807,26,103,Undirected,182
808,26,105,Undirected,404
809,26,108,Undirected,168
810,26,110,Undirected,3676
811,26,115,Undirected,1214
812,26,124,Undirected,2563
813,26,125,Undirected,6902
814,26,127,Undirected,446
815,26,134,Undirected,4858
816,27,35,Undirected,2743
817,27,41,Undirected,11555
818,27,42,Undirected,4714
819,27,58,Undirected,1220
820,27,59,Undirected,2784
821,27,62,Undirected,9316
822,27,63,Undirected,2444
823,27,86,Undirected,893
824,27,91,Undirected,3384
825,27,109,Undirected,4737
826,27,114,Undirected,4337
827,27,115,Undirected,6347
828,27,120,Undirected,1656
829,27,127,Undirected,2915
830,27,128,Undirected,1906
831,27,133,Undirected,4675
834,28,14,Undirected,424
835,28,29,Undirected,1772
836,28,39,Undirected,1817
837,28,46,Undirected,18295
839,28,73,Undirected,2482
840,28,74,Undirected,8082
841,28,77,Undirected,2623
842,28,83,Undirected,4426
843,28,88,Undirected,2535
844,28,89,Undirected,6962
845,28,97,Undirected,3861
846,28,100,Undirected,4073
847,28,101,Undirected,11157
848,28,105,Undirected,2542
849,28,106,Undirected,6312
850,28,111,Undirected,3813
